fecha_(mes_año),metodología,cobertura_geográfica,tasa_de_ocupación_(%),tasa_de_desempleo_(%)
2001-01-01,metodología geih empalme dane 2022,total nacional,57.5752,16.6223
2001-02-01,metodología geih empalme dane 2022,total nacional,56.9282,17.4342
2001-03-01,metodología geih empalme dane 2022,total nacional,57.5745,15.8119
2001-04-01,metodología geih empalme dane 2022,total nacional,55.7567,14.5151
2001-05-01,metodología geih empalme dane 2022,total nacional,56.2258,14.0358
2001-06-01,metodología geih empalme dane 2022,total nacional,56.1763,15.3123
2001-07-01,metodología geih empalme dane 2022,total nacional,56.609,15.1838
2001-08-01,metodología geih empalme dane 2022,total nacional,57.3809,14.9135
2001-09-01,metodología geih empalme dane 2022,total nacional,58.6939,14.0741
2001-10-01,metodología geih empalme dane 2022,total nacional,58.5609,14.5249
2001-11-01,metodología geih empalme dane 2022,total nacional,60.1498,13.6822
2001-12-01,metodología geih empalme dane 2022,total nacional,59.4446,13.6084
2002-01-01,metodología geih empalme dane 2022,total nacional,56.1189,17.9099
2002-02-01,metodología geih empalme dane 2022,total nacional,57.1688,16.1888
2002-03-01,metodología geih empalme dane 2022,total nacional,57.0061,15.1114
2002-04-01,metodología geih empalme dane 2022,total nacional,57.8068,16.077
2002-05-01,metodología geih empalme dane 2022,total nacional,56.6801,15.0221
2002-06-01,metodología geih empalme dane 2022,total nacional,55.9741,15.911
2002-07-01,metodología geih empalme dane 2022,total nacional,57.0162,15.4261
2002-08-01,metodología geih empalme dane 2022,total nacional,55.9325,15.9527
2002-09-01,metodología geih empalme dane 2022,total nacional,57.0232,14.4655
2002-10-01,metodología geih empalme dane 2022,total nacional,58.341,14.9726
2002-11-01,metodología geih empalme dane 2022,total nacional,58.0197,15.1893
2002-12-01,metodología geih empalme dane 2022,total nacional,56.6654,15.4225
2003-01-01,metodología geih empalme dane 2022,total nacional,56.4338,16.2715
2003-02-01,metodología geih empalme dane 2022,total nacional,57.0808,15.8384
2003-03-01,metodología geih empalme dane 2022,total nacional,59.021,13.1057
2003-04-01,metodología geih empalme dane 2022,total nacional,57.4155,15.0059
2003-05-01,metodología geih empalme dane 2022,total nacional,59.5381,12.8161
